Input.sentence,Input.info,Answer.MakeSense.on,Answer.rewrite
Over the next few years I would advise caution,[ 'caution' 'written' ],FALSE,Over the next few years I would advise written caution
It 's been kind of annoying to say the least she said,[ 'kind' 'ON' 'sidewalk' ],FALSE,N/A
Poland makes no machinery for a plant on that scale,[ 'machinery' 'ON' 'train tracks' ],TRUE,Poland makes no machinery on train tracks for a plant on that scale
Poland makes no machinery for a plant on that scale,[ 'machinery' 'heavy' ],FALSE,Poland makes no heavy machinery for a plant on that scale
California prices were already coming down,[ 'price' 'ON' 'bike' ],TRUE,California prices on bikes were already coming down
Poland makes no machinery for a plant on that scale,[ 'plant' 'IN' 'vase' ],FALSE,Poland makes no machinery for a plant in a vase on that scale
California prices were already coming down,[ 'price' 'written' ],TRUE,California written prices were already coming down
Poland makes no machinery for a plant on that scale,[ 'plant' 'green' ],TRUE,Poland makes no machinery for a green plant on that scale
Poland makes no machinery for a plant on that scale,[ 'scale' 'on top of' 'floor' ],TRUE,Poland makes no machinery for a plant on that scale on top of the floor
Poland makes no machinery for a plant on that scale,[ 'scale' 'white' ],FALSE,Poland makes no machinery for a plant on that white scale
The good news is it 's not your fault,[ 'news' 'ON' 'bus' ],FALSE,The good news on bus is it's not your fault
But it 's an enormous business opportunity,[ 'business' 'here' ],TRUE,But it 's an enormous business opportunity here
In a way that 's what this is Mr. Gonzalez concedes,[ 'way' 'scrapped on' 'bus' ],FALSE,In a way scrapped on the bus that's what this is Mr. Gonzalez concedes
In a way that 's what this is Mr. Gonzalez concedes,[ 'way' 'walk' ],FALSE,In a walk way that 's what this is Mr. Gonzalez concedes
But it has n't worked out that way,[ 'way' 'scrapped on' 'bus' ],FALSE,But it has not worked out that way scrapped on the bus
But it has n't worked out that way,[ 'way' 'walk' ],FALSE,But it has n't worked out that walk way
NASA said the Galileo worm had nothing to do with either delay,[ 'worm' 'ON' 'laptop' ],TRUE,NASA said the Galileo worm on a laptop had nothing to do with either delay
NASA said the Galileo worm had nothing to do with either delay,[ 'worm' 'green' ],TRUE,NASA said the Galileo green worm had nothing to do with either delay
NASA said the Galileo worm had nothing to do with either delay,[ 'nothing' 'IN' 'sky' ],FALSE,NASA said the Galileo worm had nothing in the sky to do with either delay
NASA said the Galileo worm had nothing to do with either delay,[ 'nothing' 'clear' ],TRUE,NASA said the Galileo worm had nothing clear to do with either delay
Half of those surveyed said they simply walk these days for exercise,[ 'day' 'with' 'tower' ],FALSE,Half of those surveyed said they simply walk these days with a tower for exercise
Reggie Jackson the retired baseball star has found another use for them,[ 'use' 'hiding in' 'corner' ],TRUE,Reggie Jackson the retired baseball star has found another use hiding in the corner for them
Wall Street traders on Friday had complained about the trading suspensions,[ 'suspension' 'ON' 'bridge' ],FALSE,Wall Street traders on Friday had complained about the trading suspension on the bridge
Wall Street traders on Friday had complained about the trading suspensions,[ 'suspension' 'yellow' ],TRUE,Wall Street traders on Friday had complained about the trading yellow suspensions
Half of those surveyed said they simply walk these days for exercise,[ 'day' 'sunny' ],TRUE,Half of those surveyed said they simply walk these sunny days for exercise
Bush administration officials say inflation is under control,[ 'official' 'with' 'hand' ],TRUE,Bush administration officials with hands say inflation is under control
Budget said its frequent-flier costs are substantially below Avis 's level,[ 'cost' 'displayed in front of' 'banana' ],FALSE,Budget said its frequent-flier costs displayed in front of a banana are substantially below Avis 's level
Bush administration officials say inflation is under control,[ 'official' 'tennis' ],FALSE,Bush administration tennis officials say inflation is under control
Budget said its frequent-flier costs are substantially below Avis 's level,[ 'level' 'ON' 'bus' ],TRUE,Budget said its frequent-flier costs are substantially below Avis's level on the bus
Half of those surveyed said they simply walk these days for exercise,[ 'man' 'getting' 'exercise' ],FALSE,Half of those man surveyed said they simply walk these days so they are getting exercise
Some of the oil interests already have been sold,[ 'people' 'showing' 'interest' ],FALSE,Some of the oil interests people showing already have been sold
Bush administration officials say inflation is under control,[ 'control' 'sitting on top of' 'table' ],FALSE,Bush administration officials say inflation is under the control sitting on top of the table
Budget said its frequent-flier costs are substantially below Avis 's level,[ 'level' 'upper' ],TRUE,Budget said its frequent-flier costs are substantially below Avis 's upper level
And even though employees paid the bill taxpayers grumbled,[ 'employee' 'helps' 'people' ],TRUE,And even though employees that help people paid the bill taxpayers grumbled
Bush administration officials say inflation is under control,[ 'control' 'remote' ],TRUE,Bush administration officials say inflation is under remote control
And even though employees paid the bill taxpayers grumbled,[ 'employee' 'airport' ],TRUE,And even though airport employees paid the bill taxpayers grumbled
The Bakersfield Supermarket went out of business last May,[ 'business' 'has' 'entrance' ],FALSE,The Bakersfield Supermarket went of business that has an entrance last May
As for the women they 're pathetic,[ 'woman' 'sitting on' 'chair' ],TRUE,As for the women sitting on the chair they 're pathetic
Some of the oil interests already have been sold,[ 'interest' 'great' ],TRUE,Some of the great oil interests already have been sold
And even though employees paid the bill taxpayers grumbled,[ 'bill' 'has' 'nostril' ],FALSE,And even though employees paid the bill with the nostril taxpayers grumbled
The Bakersfield Supermarket went out of business last May,[ 'business' 'here' ],TRUE,The Bakersfield Supermarket went out of business here last May
As for the women they 're pathetic,[ 'woman' 'standing' ],TRUE,As for the standing women they 're pathetic
And even though employees paid the bill taxpayers grumbled,[ 'bill' 'orange' ],TRUE,And even though employees paid the orange bill taxpayers grumbled
The offer is based on several conditions including obtaining financing,[ 'sky' 'weather' 'condition' ],FALSE,The offer is based on several sky weather conditions including obtaining financing
Both executives left the company after clashes with Chairman Ralph Ingersoll Jr,[ 'executive' 'ON' 'signs' ],FALSE,Both executives left the company after clashes and signs on Chairman Ralph Ingersoll Jr
The comic strip has a magical everlasting quality about it,[ 'strip' 'ON' 'arm' ],FALSE,The comic strip on the arm has a magical everlasting quality about it
It 's unlikely extracting the gas will cause subsidence says a spokeswoman,[ 'gas' 'range' 'stove' ],FALSE,It is unlikely extracting the range gas stove  will cause subsidence says a spokeswoman
It 's not good the market is setting up for another fall,[ 'market' 'filled with' 'green peppers' ],TRUE,It 's not good the market filled with green peppers is setting up for another fall
Both executives left the company after clashes with Chairman Ralph Ingersoll Jr,[ 'executive' 'in white' ],TRUE,Both executives in white left the company after clashes with Chairman Ralph Ingersoll Jr
The comic strip has a magical everlasting quality about it,[ 'strip' 'white' ],FALSE,The comic white strip has a magical everlasting quality about it
It 's unlikely extracting the gas will cause subsidence says a spokeswoman,[ 'gas' 'invisible' ],TRUE,It is unlikely extracting the invisible gas will cause subsidence says a spokeswoman
The comic strip has a magical everlasting quality about it,[ 'photo' 'has' 'quality' ],TRUE,The comic strip has a magical everlasting photo quality about it
The owners are trying to boost profit in other ways too,[ 'owner' 'OF' 'owner' ],FALSE,NA
Both executives left the company after clashes with Chairman Ralph Ingersoll Jr,[ 'company' 'at' 'bottom' ],TRUE,Both executives left the company at the bottom after clashes with Chairman Ralph Ingersoll Jr
Today Morgenzon is a town of 800 whites and two paved roads,[ 'sign' 'reads' 'today' ],TRUE,The sign reads Today Morgenzon is a town of 800 whites and two paved roads
The owners are trying to boost profit in other ways too,[ 'owner' 'proud' ],TRUE,The proud owner is trying to boost profit in other ways too
It 's not good the market is setting up for another fall,[ 'market' 'outdoor' ],TRUE,It 's not good the outdoor market is setting up for another fall
Both executives left the company after clashes with Chairman Ralph Ingersoll Jr,[ 'company' 'name' ],TRUE,Both executives left the company which has a name after clashes with Chairman Ralph Ingersoll Jr
Today Morgenzon is a town of 800 whites and two paved roads,[ 'town' 'IN' 'background' ],TRUE,Today Morgenzon is a town in the background with 800 whites and two paved roads
The owners are trying to boost profit in other ways too,[ 'way' 'to' 'house' ],FALSE,The owners are trying to boost profit in other ways to the house too
In coming years Mr. Cathcart says Kidder is gon na hum,[ 'year' 'ON' 'picture' ],FALSE,In coming years on the picture Mr Cathcart says Kidder is gonna hum
It 's not good the market is setting up for another fall,[ 'fall' 'behind' 'treee' ],FALSE,It is not good the market is setting up for another fall behind the tree
Today Morgenzon is a town of 800 whites and two paved roads,[ 'town' 'small' ],TRUE,Today Morgenzon is a small town of 800 whites and two paved roads
The owners are trying to boost profit in other ways too,[ 'way' 'walk' ],TRUE,The owners are trying to boost profit in other ways that walk too
In coming years Mr. Cathcart says Kidder is gon na hum,[ 'year' 'white' ],FALSE,In coming white years Mr. Cathcart says Kidder is gon na hum
A federal judge turned down the Chapter 11 petition,[ 'judge' 'tennis line' ],FALSE,A federal tennis line judge turned down the Chapter 11 petition
Prices were lower in Frankfurt Zurich Paris and Amsterdam,[ 'price' 'ON' 'sign' ],TRUE,Prices on the sign were lower in Frankfurt Zurich Paris and Amsterdam
It 's not good the market is setting up for another fall,[ 'fall' 'water' ],FALSE,It 's not good the market is setting up for another water fall
But he added you can only take one call at a time,[ 'umpire' 'to make' 'call' ],TRUE,But he added you can only take one umpire to make a call at a time
